is_gain_opportunity,pct_change_est_avg_price,pct_change_est_avg_trade_volume,sma8_pct_diff,sma21_pct_diff,sma55_pct_diff,sma89_pct_diff,sma144_pct_diff,btc_change_est_avg_price,btc_change_est_avg_trade_volume,btc_sma8_pct_diff,btc_sma21_pct_diff,btc_sma55_pct_diff,btc_sma89_pct_diff,btc_sma144_pct_diff,btc_reg3_b,btc_reg3_rsq,btc_reg3_resid,btc_reg8_b,btc_reg8_rsq,btc_reg8_resid,btc_reg21_b,btc_reg21_rsq,btc_reg21_resid
0,0.014941837,-0.276643041,0.007478214,0.027741277,0.011673276,-0.014520098,-0.004247625,0.000608209,-0.375832858,-0.001811316,-0.010685456,-0.032316267,-0.038325918,-0.039982013,0,0,0,0,0,0,-0.003335762,0.006404664,-0.000116655
0,-0.000592827,-0.251062773,0.007545384,0.028693919,0.011040462,-0.013923036,-0.005213096,0.000863179,-0.406993288,-0.000793929,-0.007586879,-0.030470272,-0.036960878,-0.038968767,0,0,0,-2.01E-13,3.83E-15,-4.05E-16,0.237804776,0.1298047,-0.001887332
0,-0.00899654,-0.236722726,0.000461626,0.021170087,0.001813498,-0.020620894,-0.014464949,0.000452856,-0.180095324,8.38E-05,-0.005053393,-0.029036181,-0.036006011,-0.03833102,0,0,0,2.43E-13,1.94E-15,1.94E-16,-0.065542019,0.03321724,-0.001223251
0,-0.000598563,0.017637973,0.00169983,0.020558851,0.0009956,-0.018990764,-0.015445419,-0.000202187,0.174134086,0.000315334,-0.003421398,-0.028252013,-0.035681162,-0.038320352,0,0,0,1.02E-13,4.82E-16,-3.68E-17,-0.000265195,5.99E-07,0.001199146
0,-0.016170892,-0.631248115,-0.011632571,0.003554064,-0.014743933,-0.033386872,-0.031690369,-0.001009468,0.04072125,-0.000114124,-0.002962351,-0.028211396,-0.036150131,-0.039069714,0,0,0,0,0,0,0.046137555,0.01260465,-0.000882764
0,-0.027090097,1.81873542,-0.035226925,-0.024228441,-0.040250161,-0.058024844,-0.058004227,-0.004829667,0.100298953,-0.004280662,-0.006503336,-0.031809871,-0.040272406,-0.043414837,0,0,0,-2.87E-14,3.94E-16,1.18E-16,0.037603331,0.05957619,-0.000949468
0,0.006465742,-0.566232715,-0.026945278,-0.019107633,-0.033237168,-0.050705189,-0.052053844,0.002057954,0.294340481,-0.002102745,-0.00347181,-0.028872057,-0.037801151,-0.04114733,0,0,0,0,0,0,0.345168591,0.139312486,-0.000649389
0,0.007045902,1.000589844,-0.016954704,-0.014095423,-0.025891423,-0.042928144,-0.045626647,0.00346223,-0.567072283,0.001179122,0.000553189,-0.02471683,-0.034045079,-0.037562248,0,0,0,-3.26E-14,4.55E-17,-5.72E-17,0.017028795,0.581064057,1.08E-05
0,0.005041671,0.493578342,-0.007569215,-0.009890071,-0.020425099,-0.037210209,-0.041119708,-5.60E-05,-0.223339226,0.001033173,0.001084444,-0.023982269,-0.033694847,-0.037358769,0,0,0,2.38E-13,2.90E-15,9.83E-16,0.042514447,0.174590974,0.000108587
0,-0.001842752,0.41268032,-0.004784669,-0.013371877,-0.021354074,-0.038239859,-0.043231717,0.001084477,0.439864264,0.002000938,0.002197757,-0.022108403,-0.032262339,-0.036058124,0,0,0,0,0,0,0.192160876,0.526540459,-0.000358054
0,-0.011897436,0.153548682,-0.011707359,-0.026306659,-0.031889679,-0.048683846,-0.054804206,6.50E-05,1.452978301,0.001996851,0.001980975,-0.021227504,-0.031799211,-0.035717385,0,0,0,-1.66E-12,1.34E-14,1.51E-15,-0.100066773,0.037546199,-0.000886388
